Player Name,School,Conference,Award Name,Subgroup,Year Won
Adrian Wooley,Kennesaw State,Conference USA,Men's All-Conference USA Winners,1st Team,2024-25
Daniel Batcho,Louisiana Tech,Conference USA,Men's All-Conference USA Winners,1st Team,2024-25
Essam Mostafa,Middle Tennessee,Conference USA,Men's All-Conference USA Winners,1st Team,2024-25
Jaron Pierre,Jacksonville State,Conference USA,Men's All-Conference USA Winners,1st Team,2024-25
Lamar Wilkerson,Sam Houston,Conference USA,Men's All-Conference USA Winners,1st Team,2024-25
Don McHenry,Western Kentucky,Conference USA,Men's All-Conference USA Winners,2nd Team,2024-25
Jestin Porter,Middle Tennessee,Conference USA,Men's All-Conference USA Winners,2nd Team,2024-25
Kaden Metheny,Liberty,Conference USA,Men's All-Conference USA Winners,2nd Team,2024-25
Otis Frazier,UTEP,Conference USA,Men's All-Conference USA Winners,2nd Team,2024-25
Simeon Cottle,Kennesaw State,Conference USA,Men's All-Conference USA Winners,2nd Team,2024-25
Christian Cook,New Mexico State,Conference USA,Men's All-Conference USA Winners,3rd Team,2024-25
Peter Filipovity,New Mexico State,Conference USA,Men's All-Conference USA Winners,3rd Team,2024-25
Sean Newman,Louisiana Tech,Conference USA,Men's All-Conference USA Winners,3rd Team,2024-25
Taelon Peter,Liberty,Conference USA,Men's All-Conference USA Winners,3rd Team,2024-25
Zach Cleveland,Liberty,Conference USA,Men's All-Conference USA Winners,3rd Team,2024-25
Adrian Wooley,Kennesaw State,Conference USA,Men's All-Conference USA Tournament,NA,2024-25
Jaron Pierre,Jacksonville State,Conference USA,Men's All-Conference USA Tournament,NA,2024-25
Kaden Metheny,Liberty,Conference USA,Men's All-Conference USA Tournament,NA,2024-25
Quel'Ron House,Jacksonville State,Conference USA,Men's All-Conference USA Tournament,NA,2024-25
Taelon Peter,Liberty,Conference USA,Men's All-Conference USA Tournament,NA,2024-25
Corey Camper,UTEP,Conference USA,Men's Conference USA All-Defensive Winners,NA,2024-25
Daniel Batcho,Louisiana Tech,Conference USA,Men's Conference USA All-Defensive Winners,NA,2024-25
Mason Nicholson,Jacksonville State,Conference USA,Men's Conference USA All-Defensive Winners,NA,2024-25
Otis Frazier,UTEP,Conference USA,Men's Conference USA All-Defensive Winners,NA,2024-25
Vianney Salatchoum,Florida International,Conference USA,Men's Conference USA All-Defensive Winners,NA,2024-25
Adrian Wooley,Kennesaw State,Conference USA,Men's Conference USA All-Freshman Winners,NA,2024-25
Braedan Lue,Kennesaw State,Conference USA,Men's Conference USA All-Freshman Winners,NA,2024-25
Julius Thedford,Western Kentucky,Conference USA,Men's Conference USA All-Freshman Winners,NA,2024-25
Quel'Ron House,Jacksonville State,Conference USA,Men's Conference USA All-Freshman Winners,NA,2024-25
Torey Alston,Middle Tennessee,Conference USA,Men's Conference USA All-Freshman Winners,NA,2024-25
Daniel Batcho,Louisiana Tech,Conference USA,Men's Conference USA Defensive Player of the Year Winners,NA,2024-25
Jaron Pierre,Jacksonville State,Conference USA,Men's Conference USA Player of the Year Winners,NA,2024-25
Adrian Wooley,Kennesaw State,Conference USA,Men's Conference USA Rookie of the Year Winners,NA,2024-25
Taelon Peter,Liberty,Conference USA,Men's Conference USA Sixth Man of the Year Winners,NA,2024-25
Kaden Metheny,Liberty,Conference USA,Men's Conference USA Tournament MVP Winners,NA,2024-25
Ray Harper,Jacksonville State,Conference USA,Conference USA Coach of the Year Winner,NA,2024-25
