"player_id","player","MIN","PTS","FGM","FGA","3PTM","3PTA","FTM","FTA","REB","AST","TO","STL","BLK","OREB","DREB","PF","team","opponent","home","starter","game_id"
"5242126","B. Lue",20,8,3,6,2,3,0,0,4,1,1,0,1,2,2,1,"Kennesaw State","Paine",TRUE,TRUE,"401828335"
"5176187","F. Sherman",10,2,0,1,0,1,2,4,5,0,2,0,1,0,5,0,"Kennesaw State","Paine",TRUE,TRUE,"401828335"
"5101667","R. Seals",17,12,3,7,2,4,4,5,10,3,0,1,0,2,8,1,"Kennesaw State","Paine",TRUE,TRUE,"401828335"
"5176186","RJ Johnson",6,6,2,2,0,0,2,2,5,4,0,0,2,0,5,1,"Kennesaw State","Paine",TRUE,TRUE,"401828335"
"5106660","S. Cottle",19,17,6,9,5,8,0,0,3,3,1,0,0,1,2,1,"Kennesaw State","Paine",TRUE,TRUE,"401828335"
"5312350","T. Simpson",22,18,6,10,5,9,1,2,6,0,2,1,0,2,4,1,"Kennesaw State","Paine",TRUE,FALSE,"401828335"
"5312348","A. Taylor",16,3,1,4,0,1,1,2,3,1,0,0,1,0,3,0,"Kennesaw State","Paine",TRUE,FALSE,"401828335"
"5242128","D. Onyirimba",5,4,2,4,0,1,0,0,5,0,0,0,1,2,3,0,"Kennesaw State","Paine",TRUE,FALSE,"401828335"
"5107296","P. Smith Jr.",15,10,5,5,0,0,0,0,6,0,1,2,0,2,4,1,"Kennesaw State","Paine",TRUE,FALSE,"401828335"
"5312345","K. Rickard",22,9,4,7,1,3,0,1,5,7,1,1,0,0,5,0,"Kennesaw State","Paine",TRUE,FALSE,"401828335"
"5312344","D. Washington III",25,9,3,7,1,2,2,2,6,3,2,2,0,0,6,1,"Kennesaw State","Paine",TRUE,FALSE,"401828335"
"5176770","J. Harris",11,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,"Kennesaw State","Paine",TRUE,FALSE,"401828335"
"5106665","E. Holland",7,4,1,2,0,0,2,2,0,0,0,1,0,0,0,0,"Kennesaw State","Paine",TRUE,FALSE,"401828335"
"5106664","C. Stone",5,3,1,4,1,3,0,0,1,0,0,0,0,0,1,0,"Kennesaw State","Paine",TRUE,FALSE,"401828335"
"5312348","A. Taylor",8,3,0,0,0,0,3,4,2,1,1,0,1,0,2,2,"Kennesaw State","Florida A&M",FALSE,TRUE,"401828336"
"5176187","F. Sherman",19,11,5,8,1,2,0,1,8,1,0,2,1,1,7,1,"Kennesaw State","Florida A&M",FALSE,TRUE,"401828336"
"5101667","R. Seals",22,18,7,8,2,3,2,2,9,0,1,0,0,2,7,1,"Kennesaw State","Florida A&M",FALSE,TRUE,"401828336"
"5176186","RJ Johnson",29,18,6,10,1,2,5,7,1,2,2,4,0,0,1,4,"Kennesaw State","Florida A&M",FALSE,TRUE,"401828336"
"5106660","S. Cottle",28,12,3,7,1,4,5,6,1,3,5,0,0,0,1,2,"Kennesaw State","Florida A&M",FALSE,TRUE,"401828336"
