"player_id","player","MIN","PTS","FGM","FGA","3PTM","3PTA","FTM","FTA","REB","AST","TO","STL","BLK","OREB","DREB","PF","team","opponent","home","starter","game_id"
"4897501","W. Allen",26,4,2,6,0,0,0,0,8,1,2,0,1,4,4,3,"Louisiana Tech","Colorado State",FALSE,TRUE,"401595309"
"4592857","I. Crawford",11,6,2,3,0,0,2,2,2,2,3,1,0,1,1,5,"Louisiana Tech","Colorado State",FALSE,TRUE,"401595309"
"5175973","S. Newman Jr.",32,15,7,13,1,3,0,0,1,5,2,3,0,1,0,2,"Louisiana Tech","Colorado State",FALSE,TRUE,"401595309"
"5107623","T. Henry",14,4,2,6,0,3,0,0,2,0,1,0,0,0,2,3,"Louisiana Tech","Colorado State",FALSE,TRUE,"401595309"
"4703010","T. Chavez",28,11,4,10,3,7,0,0,2,1,2,0,0,0,2,2,"Louisiana Tech","Colorado State",FALSE,TRUE,"401595309"
"4592207","J. Turner",5,0,0,1,0,1,0,0,3,0,0,0,0,0,3,0,"Louisiana Tech","Colorado State",FALSE,FALSE,"401595309"
"4397471","D. Mangum",27,7,2,8,0,3,3,4,10,2,1,2,0,4,6,3,"Louisiana Tech","Colorado State",FALSE,FALSE,"401595309"
"5105431","D. Ree",12,4,1,4,1,2,1,2,2,0,0,1,0,2,0,0,"Louisiana Tech","Colorado State",FALSE,FALSE,"401595309"
"5175974","J. Henderson",27,16,6,9,2,3,2,2,2,0,1,0,0,0,2,4,"Louisiana Tech","Colorado State",FALSE,FALSE,"401595309"
"5106878","J. Crawford",18,6,3,5,0,2,0,0,5,2,1,0,1,1,4,1,"Louisiana Tech","Colorado State",FALSE,FALSE,"401595309"
"4897501","W. Allen",18,8,4,7,0,0,0,0,8,1,0,1,0,3,5,4,"Louisiana Tech","Lyon",TRUE,TRUE,"401600071"
"4592857","I. Crawford",22,21,9,14,0,3,3,3,8,2,0,3,0,3,5,0,"Louisiana Tech","Lyon",TRUE,TRUE,"401600071"
"5175973","S. Newman Jr.",20,2,1,5,0,2,0,0,3,7,0,0,1,1,2,3,"Louisiana Tech","Lyon",TRUE,TRUE,"401600071"
"5107623","T. Henry",21,3,1,1,1,1,0,1,1,0,1,2,0,0,1,2,"Louisiana Tech","Lyon",TRUE,TRUE,"401600071"
"4703010","T. Chavez",23,5,2,10,1,9,0,0,2,2,0,2,0,1,1,1,"Louisiana Tech","Lyon",TRUE,TRUE,"401600071"
"4592207","J. Turner",19,6,2,4,1,3,1,4,2,4,2,0,0,0,2,0,"Louisiana Tech","Lyon",TRUE,FALSE,"401600071"
"4397471","D. Mangum",20,11,5,8,1,2,0,1,10,2,0,1,2,2,8,0,"Louisiana Tech","Lyon",TRUE,FALSE,"401600071"
"5105431","D. Ree",20,18,6,8,5,6,1,4,2,0,1,3,0,0,2,5,"Louisiana Tech","Lyon",TRUE,FALSE,"401600071"
"5175975","A. Vertus",6,2,1,2,0,0,0,0,1,1,0,1,0,0,1,0,"Louisiana Tech","Lyon",TRUE,FALSE,"401600071"
"5175974","J. Henderson",21,24,7,12,3,4,7,8,2,1,2,1,0,1,1,2,"Louisiana Tech","Lyon",TRUE,FALSE,"401600071"
"5106878","J. Crawford",10,0,0,2,0,1,0,0,2,3,0,1,0,0,2,0,"Louisiana Tech","Lyon",TRUE,FALSE,"401600071"
"4683631","D. Batcho",25,12,5,7,0,0,2,4,4,1,1,0,0,1,3,4,"Louisiana Tech","UL Monroe",FALSE,TRUE,"401581861"
"4592857","I. Crawford",32,24,7,12,3,5,7,10,9,3,5,2,2,1,8,2,"Louisiana Tech","UL Monroe",FALSE,TRUE,"401581861"
"5175973","S. Newman Jr.",34,8,2,6,2,3,2,2,4,4,1,0,0,0,4,4,"Louisiana Tech","UL Monroe",FALSE,TRUE,"401581861"
"5107623","T. Henry",8,2,1,3,0,1,0,2,1,0,0,0,0,1,0,1,"Louisiana Tech","UL Monroe",FALSE,TRUE,"401581861"
"4703010","T. Chavez",27,8,2,8,1,6,3,4,1,4,2,2,0,0,1,1,"Louisiana Tech","UL Monroe",FALSE,TRUE,"401581861"
"5175976","T. Miller Jr.",2,0,0,1,0,1,0,0,2,0,1,0,0,1,1,1,"Louisiana Tech","UL Monroe",FALSE,FALSE,"401581861"
"4897501","W. Allen",11,0,0,1,0,0,0,0,2,0,0,0,0,1,1,0,"Louisiana Tech","UL Monroe",FALSE,FALSE,"401581861"
"4592207","J. Turner",4,0,0,1,0,1,0,0,2,0,0,0,0,0,2,1,"Louisiana Tech","UL Monroe",FALSE,FALSE,"401581861"
"4397471","D. Mangum",23,7,2,5,1,3,2,2,5,1,1,1,0,1,4,1,"Louisiana Tech","UL Monroe",FALSE,FALSE,"401581861"
"5105431","D. Ree",2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,"Louisiana Tech","UL Monroe",FALSE,FALSE,"401581861"
"5175974","J. Henderson",32,12,3,7,2,6,4,4,3,4,2,1,1,0,3,3,"Louisiana Tech","UL Monroe",FALSE,FALSE,"401581861"
"4683631","D. Batcho",25,10,4,10,0,0,2,4,12,1,0,2,3,4,8,2,"Louisiana Tech","Southern Utah",TRUE,TRUE,"401600072"
"4592857","I. Crawford",29,18,6,6,0,0,6,8,6,0,4,1,0,1,5,3,"Louisiana Tech","Southern Utah",TRUE,TRUE,"401600072"
"5175973","S. Newman Jr.",28,8,2,3,0,1,4,4,4,4,2,2,0,0,4,2,"Louisiana Tech","Southern Utah",TRUE,TRUE,"401600072"
"5107623","T. Henry",14,6,2,2,0,0,2,3,2,1,0,0,0,1,1,0,"Louisiana Tech","Southern Utah",TRUE,TRUE,"401600072"
"4703010","T. Chavez",25,8,3,10,2,7,0,0,1,1,1,0,0,0,1,2,"Louisiana Tech","Southern Utah",TRUE,TRUE,"401600072"
"5175976","T. Miller Jr.",4,0,0,2,0,0,0,0,0,1,1,0,1,0,0,0,"Louisiana Tech","Southern Utah",TRUE,FALSE,"401600072"
"4897501","W. Allen",9,0,0,1,0,0,0,0,2,0,0,1,1,0,2,0,"Louisiana Tech","Southern Utah",TRUE,FALSE,"401600072"
"4592207","J. Turner",6,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,"Louisiana Tech","Southern Utah",TRUE,FALSE,"401600072"
"4397471","D. Mangum",19,5,2,6,0,2,1,1,4,1,1,2,0,1,3,2,"Louisiana Tech","Southern Utah",TRUE,FALSE,"401600072"
"5105431","D. Ree",9,0,0,0,0,0,0,2,2,0,0,0,0,0,2,1,"Louisiana Tech","Southern Utah",TRUE,FALSE,"401600072"
"5175974","J. Henderson",22,10,4,9,1,2,1,2,2,1,0,1,0,0,2,1,"Louisiana Tech","Southern Utah",TRUE,FALSE,"401600072"
"5106878","J. Crawford",10,2,1,2,0,0,0,0,0,0,0,0,0,0,0,2,"Louisiana Tech","Southern Utah",TRUE,FALSE,"401600072"
"4683631","D. Batcho",35,17,7,10,0,0,3,4,8,1,0,0,4,5,3,3,"Louisiana Tech","McNeese",TRUE,TRUE,"401579007"
"4592857","I. Crawford",31,7,1,5,0,2,5,8,4,4,0,3,2,1,3,3,"Louisiana Tech","McNeese",TRUE,TRUE,"401579007"
"5175973","S. Newman Jr.",38,11,2,7,1,3,6,7,5,7,6,1,0,0,5,2,"Louisiana Tech","McNeese",TRUE,TRUE,"401579007"
"5107623","T. Henry",26,14,4,9,4,8,2,2,5,2,0,1,0,2,3,0,"Louisiana Tech","McNeese",TRUE,TRUE,"401579007"
"4703010","T. Chavez",33,14,3,10,3,9,5,6,3,0,2,1,0,1,2,1,"Louisiana Tech","McNeese",TRUE,TRUE,"401579007"
"4897501","W. Allen",3,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,"Louisiana Tech","McNeese",TRUE,FALSE,"401579007"
"4397471","D. Mangum",11,8,2,2,2,2,2,2,5,0,2,0,0,1,4,0,"Louisiana Tech","McNeese",TRUE,FALSE,"401579007"
"5175974","J. Henderson",18,0,0,4,0,3,0,0,0,0,1,0,0,0,0,2,"Louisiana Tech","McNeese",TRUE,FALSE,"401579007"
"5106878","J. Crawford",5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"Louisiana Tech","McNeese",TRUE,FALSE,"401579007"
"4683631","D. Batcho",13,17,6,11,0,0,5,7,14,0,2,0,0,8,6,1,"Louisiana Tech","Dillard",TRUE,TRUE,"401600073"
"4592857","I. Crawford",14,9,4,9,1,2,0,0,1,2,0,4,1,0,1,0,"Louisiana Tech","Dillard",TRUE,TRUE,"401600073"
"5175973","S. Newman Jr.",16,0,0,0,0,0,0,0,2,5,0,2,0,0,2,0,"Louisiana Tech","Dillard",TRUE,TRUE,"401600073"
"5107623","T. Henry",12,0,0,5,0,3,0,0,5,1,1,0,0,1,4,1,"Louisiana Tech","Dillard",TRUE,TRUE,"401600073"
"4703010","T. Chavez",13,12,3,4,3,3,3,3,0,1,0,1,0,0,0,0,"Louisiana Tech","Dillard",TRUE,TRUE,"401600073"
"5175976","T. Miller Jr.",10,4,2,4,0,0,0,0,3,2,0,0,0,1,2,1,"Louisiana Tech","Dillard",TRUE,FALSE,"401600073"
"4897501","W. Allen",13,4,2,3,0,1,0,1,0,0,1,1,1,0,0,1,"Louisiana Tech","Dillard",TRUE,FALSE,"401600073"
"4592207","J. Turner",15,10,4,5,2,3,0,0,1,0,1,0,0,0,1,0,"Louisiana Tech","Dillard",TRUE,FALSE,"401600073"
"4397471","D. Mangum",15,8,2,6,2,4,2,4,3,3,0,2,0,1,2,0,"Louisiana Tech","Dillard",TRUE,FALSE,"401600073"
"5105431","D. Ree",24,21,7,9,2,4,5,5,5,1,1,2,0,3,2,4,"Louisiana Tech","Dillard",TRUE,FALSE,"401600073"
"5175975","A. Vertus",10,6,3,5,0,2,0,0,3,0,1,0,0,0,3,1,"Louisiana Tech","Dillard",TRUE,FALSE,"401600073"
"5175974","J. Henderson",23,12,5,6,2,3,0,0,6,1,3,1,0,1,5,3,"Louisiana Tech","Dillard",TRUE,FALSE,"401600073"
"5106878","J. Crawford",17,0,0,2,0,0,0,0,2,3,2,2,0,1,1,2,"Louisiana Tech","Dillard",TRUE,FALSE,"401600073"
"4897500","B. Ponder",5,2,1,2,0,1,0,0,0,0,0,0,0,0,0,0,"Louisiana Tech","Dillard",TRUE,FALSE,"401600073"
"4683631","D. Batcho",24,9,2,11,0,0,5,7,12,0,1,0,1,4,8,1,"Louisiana Tech","New Mexico",FALSE,TRUE,"401600074"
"4592857","I. Crawford",38,24,9,22,3,7,3,3,8,3,5,1,2,3,5,4,"Louisiana Tech","New Mexico",FALSE,TRUE,"401600074"
"5175973","S. Newman Jr.",17,1,0,1,0,0,1,2,1,2,3,0,0,0,1,1,"Louisiana Tech","New Mexico",FALSE,TRUE,"401600074"
"5107623","T. Henry",20,3,1,3,1,3,0,0,3,0,0,1,0,0,3,2,"Louisiana Tech","New Mexico",FALSE,TRUE,"401600074"
"4703010","T. Chavez",8,0,0,3,0,2,0,0,2,0,0,0,0,0,2,2,"Louisiana Tech","New Mexico",FALSE,TRUE,"401600074"
"4897501","W. Allen",17,5,2,2,0,0,1,3,2,0,0,0,1,1,1,3,"Louisiana Tech","New Mexico",FALSE,FALSE,"401600074"
"4397471","D. Mangum",17,5,1,4,1,2,2,2,1,0,0,1,2,0,1,0,"Louisiana Tech","New Mexico",FALSE,FALSE,"401600074"
"5105431","D. Ree",12,6,2,3,2,3,0,0,0,1,0,1,0,0,0,3,"Louisiana Tech","New Mexico",FALSE,FALSE,"401600074"
"5175974","J. Henderson",22,0,0,3,0,1,0,0,2,2,1,1,0,0,2,3,"Louisiana Tech","New Mexico",FALSE,FALSE,"401600074"
"5106878","J. Crawford",25,12,4,7,1,1,3,4,2,0,1,0,0,0,2,0,"Louisiana Tech","New Mexico",FALSE,FALSE,"401600074"
"4683631","D. Batcho",32,14,5,9,0,0,4,4,15,1,2,0,2,6,9,3,"Louisiana Tech","Nicholls",TRUE,TRUE,"401584439"
"4592857","I. Crawford",37,11,4,9,0,0,3,6,4,7,3,1,1,3,1,1,"Louisiana Tech","Nicholls",TRUE,TRUE,"401584439"
