"player_id","player","MIN","PTS","FGM","FGA","3PTM","3PTA","FTM","FTA","REB","AST","TO","STL","BLK","OREB","DREB","PF","team","opponent","home","starter","game_id"
"4433052","E. Mostafa",19,14,6,8,0,0,2,2,10,0,1,3,1,3,7,2,"Middle Tennessee","Oglethorpe",TRUE,TRUE,"401726400"
"4610140","K. Lands",19,11,3,9,1,5,4,4,3,1,0,1,2,0,3,3,"Middle Tennessee","Oglethorpe",TRUE,TRUE,"401726400"
"5106880","J. Porter",27,20,6,10,5,9,3,4,2,0,0,1,0,0,2,1,"Middle Tennessee","Oglethorpe",TRUE,TRUE,"401726400"
"4897511","C. Weston",22,12,5,5,0,0,2,2,3,7,2,3,0,1,2,2,"Middle Tennessee","Oglethorpe",TRUE,TRUE,"401726400"
"4897508","J. Bufford",20,6,2,4,1,2,1,4,2,1,2,2,2,1,1,2,"Middle Tennessee","Oglethorpe",TRUE,TRUE,"401726400"
"5176765","C. Loofe",15,6,3,6,0,2,0,2,5,0,0,0,0,1,4,3,"Middle Tennessee","Oglethorpe",TRUE,FALSE,"401726400"
"5176763","T. Alston",19,11,5,9,0,0,1,3,13,2,0,0,2,4,9,2,"Middle Tennessee","Oglethorpe",TRUE,FALSE,"401726400"
"4848642","J. Hall",7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Middle Tennessee","Oglethorpe",TRUE,FALSE,"401726400"
"4590357","C. Fussell",6,2,1,2,0,1,0,1,2,0,0,0,0,1,1,0,"Middle Tennessee","Oglethorpe",TRUE,FALSE,"401726400"
"5106883","I. Lightsy",3,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,"Middle Tennessee","Oglethorpe",TRUE,FALSE,"401726400"
"5106881","T. Green",13,9,3,6,2,4,1,2,4,1,1,0,0,1,3,1,"Middle Tennessee","Oglethorpe",TRUE,FALSE,"401726400"
"5106754","J. Counter",13,4,2,6,0,1,0,0,3,3,0,0,0,1,2,1,"Middle Tennessee","Oglethorpe",TRUE,FALSE,"401726400"
"4911126","J. Jubenville",3,0,0,1,0,0,0,0,0,1,1,0,0,0,0,2,"Middle Tennessee","Oglethorpe",TRUE,FALSE,"401726400"
"4593970","J. Johnson",14,2,1,3,0,0,0,0,0,0,0,0,0,0,0,2,"Middle Tennessee","Oglethorpe",TRUE,FALSE,"401726400"
"4433052","E. Mostafa",22,14,6,9,0,0,2,4,7,2,0,0,0,5,2,1,"Middle Tennessee","Abilene Christian",FALSE,TRUE,"401725372"
"4610140","K. Lands",18,6,3,6,0,2,0,0,4,2,0,0,1,0,4,1,"Middle Tennessee","Abilene Christian",FALSE,TRUE,"401725372"
"5106880","J. Porter",30,24,9,14,2,5,4,4,1,2,1,4,0,0,1,2,"Middle Tennessee","Abilene Christian",FALSE,TRUE,"401725372"
"4897511","C. Weston",31,14,5,8,3,4,1,1,1,1,3,2,0,0,1,1,"Middle Tennessee","Abilene Christian",FALSE,TRUE,"401725372"
"4897508","J. Bufford",27,2,1,5,0,2,0,0,5,1,2,3,0,0,5,3,"Middle Tennessee","Abilene Christian",FALSE,TRUE,"401725372"
"5176765","C. Loofe",15,0,0,1,0,1,0,1,3,1,2,1,3,0,3,3,"Middle Tennessee","Abilene Christian",FALSE,FALSE,"401725372"
"5176763","T. Alston",14,2,1,2,0,0,0,0,3,1,0,0,0,0,3,4,"Middle Tennessee","Abilene Christian",FALSE,FALSE,"401725372"
"4848642","J. Hall",1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,"Middle Tennessee","Abilene Christian",FALSE,FALSE,"401725372"
"4590357","C. Fussell",2,0,0,2,0,0,0,0,1,0,0,0,0,1,0,1,"Middle Tennessee","Abilene Christian",FALSE,FALSE,"401725372"
"5106883","I. Lightsy",1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,"Middle Tennessee","Abilene Christian",FALSE,FALSE,"401725372"
"5106881","T. Green",7,2,0,1,0,0,2,2,0,0,0,1,0,0,0,2,"Middle Tennessee","Abilene Christian",FALSE,FALSE,"401725372"
"5106754","J. Counter",21,15,6,9,1,3,2,2,2,3,3,1,0,0,2,2,"Middle Tennessee","Abilene Christian",FALSE,FALSE,"401725372"
"4911126","J. Jubenville",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Middle Tennessee","Abilene Christian",FALSE,FALSE,"401725372"
"4593970","J. Johnson",10,0,0,3,0,0,0,0,2,0,0,2,0,1,1,1,"Middle Tennessee","Abilene Christian",FALSE,FALSE,"401725372"
