"player_id","player","MIN","PTS","FGM","FGA","3PTM","3PTA","FTM","FTA","REB","AST","TO","STL","BLK","OREB","DREB","PF","team","opponent","home","starter","game_id"
"4897888","V. Ilic",14,9,4,6,0,0,1,2,7,3,1,1,3,6,1,2,"Sam Houston","LeTourneau",TRUE,TRUE,"401823330"
"5179294","P. King",21,11,3,10,1,6,4,5,0,1,1,0,0,0,0,1,"Sam Houston","LeTourneau",TRUE,TRUE,"401823330"
"5117648","K. Natt",20,7,3,11,0,2,1,2,11,1,0,2,3,2,9,4,"Sam Houston","LeTourneau",TRUE,TRUE,"401823330"
"5060702","J. Begg",24,4,2,8,0,5,0,0,3,3,0,1,0,0,3,0,"Sam Houston","LeTourneau",TRUE,TRUE,"401823330"
"4896936","D. Nicholas Jr.",19,12,4,6,0,0,4,4,6,3,1,2,0,2,4,0,"Sam Houston","LeTourneau",TRUE,TRUE,"401823330"
"5314534","M. Dann",12,4,2,4,0,0,0,0,7,0,1,0,0,2,5,1,"Sam Houston","LeTourneau",TRUE,FALSE,"401823330"
"5242610","C. Ndiaye",12,0,0,0,0,0,0,0,2,0,0,0,1,0,2,1,"Sam Houston","LeTourneau",TRUE,FALSE,"401823330"
"4895786","I. Manning",20,11,4,9,1,4,2,3,4,2,1,2,0,2,2,3,"Sam Houston","LeTourneau",TRUE,FALSE,"401823330"
"5314535","J. Walker",26,13,2,5,2,4,7,7,5,5,3,2,0,0,5,2,"Sam Houston","LeTourneau",TRUE,FALSE,"401823330"
"5241724","J. Coleman",19,17,8,15,1,5,0,0,5,1,2,1,0,3,2,3,"Sam Houston","LeTourneau",TRUE,FALSE,"401823330"
"5176773","CJ Beaumont",13,7,2,2,1,1,2,2,5,0,1,0,0,3,2,4,"Sam Houston","LeTourneau",TRUE,FALSE,"401823330"
"4897888","V. Ilic",24,13,6,8,0,0,1,2,5,3,1,0,0,3,2,4,"Sam Houston","Texas Tech",FALSE,TRUE,"401819899"
"5179294","P. King",28,7,2,7,1,2,2,2,0,0,0,0,0,0,0,0,"Sam Houston","Texas Tech",FALSE,TRUE,"401819899"
"5117648","K. Natt",23,16,6,10,2,2,2,4,11,2,2,2,0,5,6,5,"Sam Houston","Texas Tech",FALSE,TRUE,"401819899"
"5060702","J. Begg",28,17,6,15,3,8,2,2,2,5,5,0,0,1,1,2,"Sam Houston","Texas Tech",FALSE,TRUE,"401819899"
"4896936","D. Nicholas Jr.",11,2,1,1,0,0,0,0,1,0,1,0,1,0,1,5,"Sam Houston","Texas Tech",FALSE,TRUE,"401819899"
"5314534","M. Dann",9,7,2,4,0,0,3,4,2,0,1,0,1,2,0,0,"Sam Houston","Texas Tech",FALSE,FALSE,"401819899"
"5242606","J. Ford",8,2,1,1,0,0,0,0,1,0,1,0,0,0,1,4,"Sam Houston","Texas Tech",FALSE,FALSE,"401819899"
"4895786","I. Manning",21,6,1,8,0,5,4,6,4,0,0,1,0,1,3,3,"Sam Houston","Texas Tech",FALSE,FALSE,"401819899"
"5314535","J. Walker",21,5,2,6,1,2,0,0,0,0,0,2,1,0,0,2,"Sam Houston","Texas Tech",FALSE,FALSE,"401819899"
"5241724","J. Coleman",14,2,1,5,0,1,0,0,1,1,2,0,0,0,1,2,"Sam Houston","Texas Tech",FALSE,FALSE,"401819899"
"5176773","CJ Beaumont",13,0,0,0,0,0,0,0,4,0,0,0,0,2,2,2,"Sam Houston","Texas Tech",FALSE,FALSE,"401819899"
"4897888","V. Ilic",25,10,4,9,0,0,2,2,4,2,2,0,0,3,1,0,"Sam Houston","Utah",FALSE,TRUE,"401819907"
"5179294","P. King",26,3,1,9,1,4,0,0,1,1,1,0,1,1,0,1,"Sam Houston","Utah",FALSE,TRUE,"401819907"
"5117648","K. Natt",22,7,2,8,0,2,3,4,5,2,2,4,1,2,3,2,"Sam Houston","Utah",FALSE,TRUE,"401819907"
"5060702","J. Begg",30,16,6,14,1,6,3,4,5,1,2,1,2,0,5,3,"Sam Houston","Utah",FALSE,TRUE,"401819907"
"4896936","D. Nicholas Jr.",21,9,4,7,1,2,0,0,2,1,0,1,0,1,1,2,"Sam Houston","Utah",FALSE,TRUE,"401819907"
"5314534","M. Dann",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Sam Houston","Utah",FALSE,FALSE,"401819907"
"5242606","J. Ford",13,2,1,2,0,0,0,0,2,1,1,0,1,2,0,4,"Sam Houston","Utah",FALSE,FALSE,"401819907"
"4895786","I. Manning",15,13,4,6,2,3,3,3,3,0,0,0,1,0,3,3,"Sam Houston","Utah",FALSE,FALSE,"401819907"
"5314535","J. Walker",10,0,0,3,0,1,0,0,0,0,1,0,0,0,0,1,"Sam Houston","Utah",FALSE,FALSE,"401819907"
"5241724","J. Coleman",27,17,7,10,3,5,0,0,4,2,1,2,0,1,3,4,"Sam Houston","Utah",FALSE,FALSE,"401819907"
"5176773","CJ Beaumont",9,2,1,2,0,0,0,0,3,0,0,1,2,0,3,0,"Sam Houston","Utah",FALSE,FALSE,"401819907"
"4897888","V. Ilic",26,18,5,6,0,0,8,8,4,0,0,2,1,2,2,3,"Sam Houston","Wyoming",TRUE,TRUE,"401823331"
"5179294","P. King",28,11,2,6,2,5,5,6,1,1,1,0,1,0,1,0,"Sam Houston","Wyoming",TRUE,TRUE,"401823331"
"5117648","K. Natt",24,6,2,6,0,2,2,4,5,2,0,3,2,2,3,2,"Sam Houston","Wyoming",TRUE,TRUE,"401823331"
"5060702","J. Begg",27,4,1,4,0,2,2,2,0,3,5,0,0,0,0,1,"Sam Houston","Wyoming",TRUE,TRUE,"401823331"
"4896936","D. Nicholas Jr.",32,11,3,9,1,4,4,4,14,2,3,0,1,4,10,3,"Sam Houston","Wyoming",TRUE,TRUE,"401823331"
"5314534","M. Dann",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Sam Houston","Wyoming",TRUE,FALSE,"401823331"
"5242606","J. Ford",11,4,2,2,0,0,0,0,6,0,1,0,0,1,5,3,"Sam Houston","Wyoming",TRUE,FALSE,"401823331"
"4895786","I. Manning",24,15,5,8,2,3,3,3,4,0,4,1,1,1,3,2,"Sam Houston","Wyoming",TRUE,FALSE,"401823331"
"5314535","J. Walker",13,5,1,6,0,1,3,4,0,2,1,1,0,0,0,3,"Sam Houston","Wyoming",TRUE,FALSE,"401823331"
"5241724","J. Coleman",12,4,1,5,0,3,2,2,3,0,0,0,0,1,2,1,"Sam Houston","Wyoming",TRUE,FALSE,"401823331"
"4897888","V. Ilic",12,4,2,3,0,0,0,0,2,2,1,0,1,1,1,0,"Sam Houston","Schreiner",TRUE,TRUE,"401823332"
"5179294","P. King",17,13,5,11,3,9,0,0,2,2,1,0,0,1,1,1,"Sam Houston","Schreiner",TRUE,TRUE,"401823332"
"5117648","K. Natt",18,6,2,3,0,0,2,2,10,1,2,1,0,2,8,1,"Sam Houston","Schreiner",TRUE,TRUE,"401823332"
"5060702","J. Begg",19,7,3,4,1,2,0,0,4,7,1,1,0,1,3,2,"Sam Houston","Schreiner",TRUE,TRUE,"401823332"
"4896936","D. Nicholas Jr.",19,16,6,9,0,2,4,4,3,2,1,1,0,0,3,1,"Sam Houston","Schreiner",TRUE,TRUE,"401823332"
"5314534","M. Dann",16,8,3,5,0,1,2,6,10,1,3,1,2,3,7,0,"Sam Houston","Schreiner",TRUE,FALSE,"401823332"
"5242606","J. Ford",16,10,5,7,0,0,0,0,11,1,2,1,0,6,5,3,"Sam Houston","Schreiner",TRUE,FALSE,"401823332"
"4895786","I. Manning",18,8,3,7,2,5,0,0,6,4,1,0,0,0,6,1,"Sam Houston","Schreiner",TRUE,FALSE,"401823332"
